"AGS5","krs_WZ_gesamt","krs_homeoffice_WZ","krsanteil_homeoffice_WZ","krs_KldB_gesamt","krs_homeoffice_KldB","krsanteil_homeoffice_KldB"
3458,37575,19029.765625,0.50644752162342,37295,18242.373046875,0.489137231448586
3459,132312,66968.515625,0.506140906531532,131252,62957.42578125,0.479668315768522
3460,73354,37031.08203125,0.50482703099013,72549,34747.40234375,0.478950810400557
3461,30697,16050.505859375,0.522868875114018,30353,14284.6953125,0.470618894755049
3462,16501,8751.947265625,0.530388901619599,16501,7951.63818359375,0.481888260323238
4011,281695,157928.109375,0.560635117325476,281361,161108.1875,0.57260312374494
4012,52690,28107.130859375,0.53344336419387,51937,26166.484375,0.503812010223925
5111,430435,264207.5625,0.613815239234728,428812,280069.375,0.653128585487346
5112,176807,94871.890625,0.53658447134446,176516,96111.390625,0.544491097832491
5113,252791,146143.890625,0.578121415022687,251505,152596.984375,0.606735390449494
5114,95341,52086.625,0.54631926453467,95121,52185.63671875,0.548623718408658
5116,102596,56552.625,0.551216665367071,102489,56473.26171875,0.551017784530535
5117,59593,33297.28515625,0.558744905546792,58884,34117.3828125,0.579399884730997
5119,66958,35119.1171875,0.524494715904,66790,34698.01953125,0.519509200946998
5120,46248,24025.15234375,0.519485217604004,45713,23638.36328125,0.51710374032004
5122,54055,28493.544921875,0.52712135643095,54055,28164.126953125,0.521027230656276
5124,126658,71410.2421875,0.563803645940249,126464,71008.6875,0.561493290580719
5154,103231,54030.73046875,0.523396368036249,102326,52058.984375,0.508756175116784
5158,194209,108577.9609375,0.559077905439501,193040,110606.8125,0.572973541753005
5162,150649,82106.7421875,0.54502016068809,149885,82181.0703125,0.548294160940054
5166,94526,50390.3359375,0.533084399398049,94099,48798.5,0.518586807511238
5170,140321,74497.703125,0.530909152051368,139521,72143.1015625,0.517077010360448
5314,180127,111126.953125,0.61693667870447,179588,117370.3203125,0.653553245832127
5315,586565,353682.3125,0.602972070444026,582350,369035.46875,0.633700470078132
5316,65851,37991.265625,0.576927694719898,65047,38338.96484375,0.58940404390287
5334,220517,126338.8046875,0.572920929848946,218155,124487.8828125,0.570639604008618
5358,86084,45770.24609375,0.531692835994494,85096,43430.25,0.510367702359688
5362,146156,78340.625,0.536006903582473,145180,76361.3515625,0.525977073718832
5366,58220,30758.7734375,0.528319708648231,58220,29495.1875,0.506616068361388
5370,73924,38842.40234375,0.525436966935637,72266,36617.2890625,0.506701478738273
5374,106147,58094.44921875,0.547301847614629,105370,55584.27734375,0.527515206830692
5378,75642,41932.91796875,0.554360249183655,75086,41728.16015625,0.555738222255147
5382,163336,89407.1875,0.547382007028457,161608,87116.1328125,0.539058294221202
5512,33704,17465.73828125,0.518209657051092,33570,16519.9609375,0.492104883452487
5513,82093,44436.390625,0.541293296931529,80757,43466.3359375,0.5382361397464
5515,173897,104591.9921875,0.601459439711438,173050,107209.984375,0.619531836896851
5554,150695,79124.6796875,0.525065063124191,148548,75918.203125,0.511068497219754
5558,71390,37817.55078125,0.529731766091189,70642,35781.58203125,0.506519946083774
5562,173371,91941.6484375,0.530317345100968,172591,89119.3515625,0.51636152268948
5566,164113,86322.5078125,0.525994332030369,162933,83110.6875,0.510091187788846
5570,94152,49717.32421875,0.528053830176204,94147,48359.70703125,0.513661688967784
5711,159767,88948.421875,0.556738386994811,159161,90027.359375,0.56563705540302
5754,184192,97115.0078125,0.527248782859733,182618,93843.5859375,0.513879168195359
5758,95977,50690.58203125,0.528153432918824,95963,49363.6875,0.514403337744756
5762,45132,23660.810546875,0.524257966561974,44610,21892.541015625,0.49075411377774
5766,115533,63335.34765625,0.548201359405971,114960,61610.9765625,0.535934034120564
5770,130383,70152.140625,0.538046682658015,128848,68211.5546875,0.529395525638737
